<S> <S>+BSTag
"Kuyrukları	kuyruk <n> <pl> <p3s> <3s>
"Kuyrukları	kuyruk <n> <pl> <p3s> <3p>
"Çizmeleri	çiz <v> <D_mA> <n> <pl> <p3s> <3p>
"Çizmeleri	çiz <v> <D_mA> <n> <pl> <acc>
"Çizmeleri	çiz <v> <D_mA> <n> <pl> <acc> <3s>
"Çizmeleri	çiz <v> <D_mA> <n> <pl> <acc> <3p>
"Çizmeleri	çiz <v> <D_mA> <n> <p3p>
"Çizmeleri	çiz <v> <D_mA> <n> <p3p> <3s>
"Çizmeleri	çiz <v> <D_mA> <n> <p3p> <3p>
"Çizmeleri	çiz <v> <vn_ma> <pl> <p3s>
"Çizmeleri	çiz <v> <vn_ma> <pl> <p3s> <3s>
"Çizmeleri	çiz <v> <vn_ma> <pl> <p3s> <3p>
"Çizmeleri	çiz <v> <vn_ma> <pl> <acc>
"Çizmeleri	çiz <v> <vn_ma> <pl> <acc> <3s>
"Çizmeleri	çiz <v> <vn_ma> <pl> <acc> <3p>
"Çizmeleri	çiz <v> <vn_ma> <p3p>
"Çizmeleri	çiz <v> <vn_ma> <p3p> <3s>
"Çizmeleri	çiz <v> <vn_ma> <p3p> <3p>
ve	ve <cnjadv>
ayakkabıları	ayakkabı <n> <pl> <p3s> <3s>
ayakkabıları	ayakkabı <n> <pl> <p3s> <3p>
ayakkabıları	ayakkabı <n> <pl> <acc>
ayakkabıları	ayakkabı <n> <pl> <acc> <3s>
ayakkabıları	ayakkabı <n> <pl> <acc> <3p>
ayakkabıları	ayakkabı <n> <p3p>
ayakkabıları	ayakkabı <n> <p3p> <3s>
ayakkabıları	ayakkabı <n> <p3p> <3p>
yapıyor,"	yap <v> <t_cont> <3p>
yapıyor,"	yap <v> <cv_iyor>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
yanıtladı	yanıtla <v> <t_past> <3p>
yanıtladı	yanıt <n> <D_lA> <v> <t_past> <3s>
yanıtladı	yanıt <n> <D_lA> <v> <t_past> <3p>
Gryphon	<unk>
çok	çok <adj> <Djn_0> <n>
çok	çok <adj> <Djn_0> <n> <3s>
çok	çok <adj> <Djn_0> <n> <3p>
çok	çok <adv>
çok	çok <adv> <Dan_0> <n>
çok	çok <adv> <Dan_0> <n> <3s>
çok	çok <adv> <Dan_0> <n> <3p>
çok	çok <det>
ciddi	ciddi <n> <3s>
ciddi	ciddi <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
şekilde.	şekil <n> <loc> <3s>
şekilde.	şekil <n> <loc> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Alice	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice	ali <n> <D_CA> <adv>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice	ali <n> <D_CA> <n>
Alice	ali <n> <D_CA> <n> <3s>
Alice	ali <n> <D_CA> <n> <3p>
iyice	iyi <adj> <D_CA> <adj> <Djn_0> <n>
iyice	iyi <adj> <D_CA> <adj> <Djn_0> <n> <3s>
iyice	iyi <adj> <D_CA> <adj> <Djn_0> <n> <3p>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <adj>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n> <3s>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n> <3p>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <adv>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <adv> <Dan_0> <n>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <adv> <Dan_0> <n> <3s>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <adv> <Dan_0> <n> <3p>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <n>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <n> <3s>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <n> <3p>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <adj>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <adj> <Djn_0> <n>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <adj> <Djn_0> <n> <3s>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <adj> <Djn_0> <n> <3p>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <adv>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <adv> <Dan_0> <n>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <adv> <Dan_0> <n> <3s>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <adv> <Dan_0> <n> <3p>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <n>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <n> <3s>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <n> <3p>
şaşırmıştı.	şaşır <v> <t_narr> <cpl_di> <3p>
şaşırmıştı.	şaşır <v> <t_narr> <3p> <cpl_di>
şaşırmıştı.	şaş <v> <caus> <t_narr> <cpl_di> <3s>
şaşırmıştı.	şaş <v> <caus> <t_narr> <cpl_di> <3p>
şaşırmıştı.	şaş <v> <caus> <t_narr> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
"Çizmeleri	çizme <n> <pl> <p3s> <3s>
"Çizmeleri	çizme <n> <pl> <p3s> <3p>
"Çizmeleri	çizme <n> <pl> <acc>
"Çizmeleri	çizme <n> <pl> <acc> <3s>
"Çizmeleri	çizme <n> <pl> <acc> <3p>
"Çizmeleri	çizme <n> <p3p>
"Çizmeleri	çizme <n> <p3p> <3s>
"Çizmeleri	çizme <n> <p3p> <3p>
"Çizmeleri	çiz <v> <D_mA> <n> <pl> <p3s>
"Çizmeleri	çiz <v> <D_mA> <n> <pl> <p3s> <3s>
"Çizmeleri	çiz <v> <D_mA> <n> <pl> <p3s> <3p>
"Çizmeleri	çiz <v> <D_mA> <n> <pl> <acc>
"Çizmeleri	çiz <v> <D_mA> <n> <pl> <acc> <3s>
"Çizmeleri	çiz <v> <D_mA> <n> <pl> <acc> <3p>
"Çizmeleri	çiz <v> <D_mA> <n> <p3p>
"Çizmeleri	çiz <v> <D_mA> <n> <p3p> <3s>
"Çizmeleri	çiz <v> <D_mA> <n> <p3p> <3p>
"Çizmeleri	çiz <v> <vn_ma> <pl> <p3s>
"Çizmeleri	çiz <v> <vn_ma> <pl> <p3s> <3s>
"Çizmeleri	çiz <v> <vn_ma> <pl> <p3s> <3p>
"Çizmeleri	çiz <v> <vn_ma> <pl> <acc>
"Çizmeleri	çiz <v> <vn_ma> <pl> <acc> <3s>
"Çizmeleri	çiz <v> <vn_ma> <pl> <acc> <3p>
"Çizmeleri	çiz <v> <vn_ma> <p3p>
"Çizmeleri	çiz <v> <vn_ma> <p3p> <3s>
"Çizmeleri	çiz <v> <vn_ma> <p3p> <3p>
ve	ve <cnjadv>
ayakkabıları	ayakkabı <n> <pl> <p3s> <3s>
ayakkabıları	ayakkabı <n> <pl> <p3s> <3p>
ayakkabıları	ayakkabı <n> <pl> <acc>
ayakkabıları	ayakkabı <n> <pl> <acc> <3s>
ayakkabıları	ayakkabı <n> <pl> <acc> <3p>
ayakkabıları	ayakkabı <n> <p3p>
ayakkabıları	ayakkabı <n> <p3p> <3s>
ayakkabıları	ayakkabı <n> <p3p> <3p>
yapıyor!"	yap <v> <t_cont> <3p>
yapıyor!"	yap <v> <cv_iyor>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
tekrarladı	tekrarla <v> <t_past> <3p>
tekrarladı	tekrar <adv> <Dan_0> <n> <D_lA> <v> <t_past> <3s>
tekrarladı	tekrar <adv> <Dan_0> <n> <D_lA> <v> <t_past> <3p>
tekrarladı	tekrar <n> <D_lA> <v> <t_past> <3s>
tekrarladı	tekrar <n> <D_lA> <v> <t_past> <3p>
hayretle.	hayret <n> <D_lA> <v> <t_imp> <3p>
hayretle.	hayret <n> <ins>
hayretle.	hayret <n> <ins> <3s>
hayretle.	hayret <n> <ins> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Neden,	neden <adv> <Dan_0> <n>
"Neden,	neden <adv> <Dan_0> <n> <3s>
"Neden,	neden <adv> <Dan_0> <n> <3p>
"Neden,	neden <n>
"Neden,	neden <n> <3s>
"Neden,	neden <n> <3p>
"Neden,	ne <prn> <qst> <abl>
"Neden,	ne <prn> <qst> <abl> <3s>
"Neden,	ne <prn> <qst> <abl> <3p>
ayakkabılarınız	ayakkabı <n> <pl> <p2p>
ayakkabılarınız	ayakkabı <n> <pl> <p2p> <3s>
ayakkabılarınız	ayakkabı <n> <pl> <p2p> <3p>
ayakkabılarınız	ayakkabı <n> <pl> <gen> <1p>
neyle	ney <n> <D_lA> <v> <t_imp> <3p>
neyle	ney <n> <ins>
neyle	ney <n> <ins> <3s>
neyle	ney <n> <ins> <3p>
neyle	ne <prn> <qst> <ins>
neyle	ne <prn> <qst> <ins> <3s>
neyle	ne <prn> <qst> <ins> <3p>
yapılıyor?"	yapı <n> <D_lA> <v> <t_cont> <3p>
yapılıyor?"	yapı <n> <D_lA> <v> <cv_iyor>
yapılıyor?"	yap <v> <pass> <t_cont> <3s>
yapılıyor?"	yap <v> <pass> <t_cont> <3p>
yapılıyor?"	yap <v> <pass> <cv_iyor>
dedi	de <v> <t_past> <3p>
Gryphon.	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
"Yani,	<unk>
onları	onlar <prn> <pers> <p3s> <3s>
onları	onlar <prn> <pers> <p3s> <3p>
onları	onlar <prn> <pers> <acc>
onları	onlar <prn> <pers> <acc> <3s>
onları	onlar <prn> <pers> <acc> <3p>
onları	on <n> <pl> <p3s>
onları	on <n> <pl> <p3s> <3s>
onları	on <n> <pl> <p3s> <3p>
onları	on <n> <pl> <acc>
onları	on <n> <pl> <acc> <3s>
onları	on <n> <pl> <acc> <3p>
onları	on <n> <p3p>
onları	on <n> <p3p> <3s>
onları	on <n> <p3p> <3p>
onları	on <num> <Dmn_0> <n> <pl> <p3s>
onları	on <num> <Dmn_0> <n> <pl> <p3s> <3s>
onları	on <num> <Dmn_0> <n> <pl> <p3s> <3p>
onları	on <num> <Dmn_0> <n> <pl> <acc>
onları	on <num> <Dmn_0> <n> <pl> <acc> <3s>
onları	on <num> <Dmn_0> <n> <pl> <acc> <3p>
onları	on <num> <Dmn_0> <n> <p3p>
onları	on <num> <Dmn_0> <n> <p3p> <3s>
onları	on <num> <Dmn_0> <n> <p3p> <3p>
onları	o <prn> <pers> <pl> <p3s>
onları	o <prn> <pers> <pl> <p3s> <3s>
onları	o <prn> <pers> <pl> <p3s> <3p>
onları	o <prn> <pers> <pl> <acc>
onları	o <prn> <pers> <pl> <acc> <3s>
onları	o <prn> <pers> <pl> <acc> <3p>
onları	o <prn> <pers> <p3p>
onları	o <prn> <pers> <p3p> <3s>
onları	o <prn> <pers> <p3p> <3p>
bu	bu <prn> <dem> <3s>
bu	bu <prn> <dem> <3p>
bu	bu <det>
kadar	<unk>
parlak	parlak <adj> <Djn_0> <n>
parlak	parlak <adj> <Djn_0> <n> <3s>
parlak	parlak <adj> <Djn_0> <n> <3p>
yapan	yap <v> <part_yan> <3s>
yapan	yap <v> <part_yan> <3p>
nedir?"	ne <prn> <qst> <3p> <dir>
nedir?"	ne <prn> <qst> <dir> <3p>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice	ali <n> <D_CA> <adv>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice	ali <n> <D_CA> <n>
Alice	ali <n> <D_CA> <n> <3s>
Alice	ali <n> <D_CA> <n> <3p>
onlara	onlar <prn> <pers> <dat> <3s>
onlara	onlar <prn> <pers> <dat> <3p>
onlara	on <n> <pl> <dat>
onlara	on <n> <pl> <dat> <3s>
onlara	on <n> <pl> <dat> <3p>
onlara	on <num> <Dmn_0> <n> <pl> <dat>
onlara	on <num> <Dmn_0> <n> <pl> <dat> <3s>
onlara	on <num> <Dmn_0> <n> <pl> <dat> <3p>
onlara	o <prn> <pers> <pl> <dat>
onlara	o <prn> <pers> <pl> <dat> <3s>
onlara	o <prn> <pers> <pl> <dat> <3p>
aşağı	aşağı <adv> <Dan_0> <n>
aşağı	aşağı <adv> <Dan_0> <n> <3s>
aşağı	aşağı <adv> <Dan_0> <n> <3p>
aşağı	aşağı <n>
aşağı	aşağı <n> <3s>
aşağı	aşağı <n> <3p>
aşağı	aşağı <postp>
baktı	bak <v> <t_past> <3p>
ve	ve <cnjadv>
cevabını	cevap <n> <p2s> <acc> <3s>
cevabını	cevap <n> <p2s> <acc> <3p>
cevabını	cevap <n> <p3s> <acc>
cevabını	cevap <n> <p3s> <acc> <3s>
cevabını	cevap <n> <p3s> <acc> <3p>
vermeden	ver <v> <D_mA> <n> <abl> <3s>
vermeden	ver <v> <D_mA> <n> <abl> <3p>
vermeden	ver <v> <neg> <cv_dan>
vermeden	ver <v> <vn_ma> <abl>
vermeden	ver <v> <vn_ma> <abl> <3s>
vermeden	ver <v> <vn_ma> <abl> <3p>
önce	önce <adv> <Dan_0> <n>
önce	önce <adv> <Dan_0> <n> <3s>
önce	önce <adv> <Dan_0> <n> <3p>
önce	önce <postp>
önce	ön <n> <D_CA> <adj>
önce	ön <n> <D_CA> <adj> <Djn_0> <n>
önce	ön <n> <D_CA> <adj> <Djn_0> <n> <3s>
önce	ön <n> <D_CA> <adj> <Djn_0> <n> <3p>
önce	ön <n> <D_CA> <adv>
önce	ön <n> <D_CA> <adv> <Dan_0> <n>
önce	ön <n> <D_CA> <adv> <Dan_0> <n> <3s>
önce	ön <n> <D_CA> <adv> <Dan_0> <n> <3p>
önce	ön <n> <D_CA> <n>
önce	ön <n> <D_CA> <n> <3s>
önce	ön <n> <D_CA> <n> <3p>
önce	ön <n> <ca>
biraz	biraz <adj> <Djn_0> <n>
biraz	biraz <adj> <Djn_0> <n> <3s>
biraz	biraz <adj> <Djn_0> <n> <3p>
biraz	biraz <adv>
biraz	biraz <adv> <Dan_0> <n>
biraz	biraz <adv> <Dan_0> <n> <3s>
biraz	biraz <adv> <Dan_0> <n> <3p>
biraz	biraz <det>
düşündü.	düşün <n> <cpl_di> <3p>
düşündü.	düşün <n> <3p> <cpl_di>
düşündü.	düşün <v> <t_past> <3s>
düşündü.	düşün <v> <t_past> <3p>
düşündü.	düş <n> <p2s> <cpl_di> <3s>
düşündü.	düş <n> <p2s> <cpl_di> <3p>
düşündü.	düş <n> <p2s> <3p> <cpl_di>
düşündü.	düş <n> <gen> <cpl_di> <3s>
düşündü.	düş <n> <gen> <cpl_di> <3p>
düşündü.	düş <n> <gen> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
"Sanırım	<unk>
karartmayla	karar <v> <caus> <vn_ma> <ins> <3s>
karartmayla	karar <v> <caus> <vn_ma> <ins> <3p>
yapılıyorlar."	yap <v> <pass> <t_cont> <3p>
"Denizin	deniz <n> <p2s> <3s>
"Denizin	deniz <n> <p2s> <3p>
"Denizin	deniz <n> <gen>
"Denizin	deniz <n> <gen> <3s>
"Denizin	deniz <n> <gen> <3p>
altındaki	altın <n> <loc> <ki> <3s>
altındaki	altın <n> <loc> <ki> <3p>
altındaki	altı <n> <p2s> <loc> <ki>
altındaki	altı <n> <p2s> <loc> <ki> <3s>
altındaki	altı <n> <p2s> <loc> <ki> <3p>
altındaki	altı <num> <Dmn_0> <n> <p2s> <loc> <ki>
altındaki	altı <num> <Dmn_0> <n> <p2s> <loc> <ki> <3s>
altındaki	altı <num> <Dmn_0> <n> <p2s> <loc> <ki> <3p>
altındaki	alt <adj> <Djn_0> <n> <p2s> <loc> <ki>
altındaki	alt <adj> <Djn_0> <n> <p2s> <loc> <ki> <3s>
altındaki	alt <adj> <Djn_0> <n> <p2s> <loc> <ki> <3p>
altındaki	alt <adj> <Djn_0> <n> <p3s> <loc> <ki>
altındaki	alt <adj> <Djn_0> <n> <p3s> <loc> <ki> <3s>
altındaki	alt <adj> <Djn_0> <n> <p3s> <loc> <ki> <3p>
altındaki	alt <n> <p2s> <loc> <ki>
altındaki	alt <n> <p2s> <loc> <ki> <3s>
altındaki	alt <n> <p2s> <loc> <ki> <3p>
altındaki	alt <n> <p3s> <loc> <ki>
altındaki	alt <n> <p3s> <loc> <ki> <3s>
altındaki	alt <n> <p3s> <loc> <ki> <3p>
botlar	bot <n> <D_lA> <v> <t_aor> <3p>
botlar	bot <n> <3p>
botlar	bot <n> <pl>
botlar	bot <n> <pl> <3s>
botlar	bot <n> <pl> <3p>
ve	ve <cnjadv>
ayakkabılar,"	ayakkabı <n> <D_lA> <v> <t_aor> <3p>
ayakkabılar,"	ayakkabı <n> <3p>
ayakkabılar,"	ayakkabı <n> <pl>
ayakkabılar,"	ayakkabı <n> <pl> <3s>
ayakkabılar,"	ayakkabı <n> <pl> <3p>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
devam	devam <n> <3s>
devam	devam <n> <3p>
devam	deva <n> <p1s>
devam	deva <n> <p1s> <3s>
devam	deva <n> <p1s> <3p>
etti	et <n> <cpl_di> <3p>
etti	et <n> <3p> <cpl_di>
etti	et <v> <t_past> <3s>
etti	et <v> <t_past> <3p>
Gryphon	<unk>
derin	derin <adj> <Djn_0> <n>
derin	derin <adj> <Djn_0> <n> <3s>
derin	derin <adj> <Djn_0> <n> <3p>
derin	deri <n> <p2s>
derin	deri <n> <p2s> <3s>
derin	deri <n> <p2s> <3p>
derin	der <v> <t_imp> <2p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
sesle,	sesle <v> <t_imp> <3p>
sesle,	ses <n> <D_lA> <v> <t_imp> <2s>
sesle,	ses <n> <D_lA> <v> <t_imp> <3p>
sesle,	ses <n> <ins>
sesle,	ses <n> <ins> <3s>
sesle,	ses <n> <ins> <3p>
"bir	bir <adj> <Djn_0> <n>
"bir	bir <adj> <Djn_0> <n> <3s>
"bir	bir <adj> <Djn_0> <n> <3p>
"bir	bir <num>
"bir	bir <num> <Dmn_0> <n>
"bir	bir <num> <Dmn_0> <n> <3s>
"bir	bir <num> <Dmn_0> <n> <3p>
"bir	bir <det>
mezgitle	mezgit <n> <D_lA> <v> <t_imp> <3p>
mezgitle	mezgit <n> <ins>
mezgitle	mezgit <n> <ins> <3s>
mezgitle	mezgit <n> <ins> <3p>
yapılır.	yap <v> <pass> <t_aor> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Şimdi	şimdi <adv> <Dan_0> <n>
"Şimdi	şimdi <adv> <Dan_0> <n> <3s>
"Şimdi	şimdi <adv> <Dan_0> <n> <3p>
biliyorsun."	bil <v> <t_cont> <2s>
"Peki	peki <cnjadv>
"Peki	pek <adj> <Djn_0> <n> <p3s>
"Peki	pek <adj> <Djn_0> <n> <p3s> <3s>
"Peki	pek <adj> <Djn_0> <n> <p3s> <3p>
"Peki	pek <adj> <Djn_0> <n> <acc>
"Peki	pek <adj> <Djn_0> <n> <acc> <3s>
"Peki	pek <adj> <Djn_0> <n> <acc> <3p>
"Peki	pek <adv> <Dan_0> <n> <p3s>
"Peki	pek <adv> <Dan_0> <n> <p3s> <3s>
"Peki	pek <adv> <Dan_0> <n> <p3s> <3p>
"Peki	pek <adv> <Dan_0> <n> <acc>
"Peki	pek <adv> <Dan_0> <n> <acc> <3s>
"Peki	pek <adv> <Dan_0> <n> <acc> <3p>
ya	ya <cnjcoo>
ya	ya <cnjadv>
onlar	onlar <prn> <pers> <3s>
onlar	onlar <prn> <pers> <3p>
onlar	on <n> <D_lA> <v> <t_aor> <3s>
onlar	on <n> <D_lA> <v> <t_aor> <3p>
onlar	on <n> <3p>
onlar	on <n> <pl>
onlar	on <n> <pl> <3s>
onlar	on <n> <pl> <3p>
onlar	on <num> <Dmn_0> <n> <D_lA> <v> <t_aor> <3s>
onlar	on <num> <Dmn_0> <n> <D_lA> <v> <t_aor> <3p>
onlar	on <num> <Dmn_0> <n> <3p>
onlar	on <num> <Dmn_0> <n> <pl>
onlar	on <num> <Dmn_0> <n> <pl> <3s>
onlar	on <num> <Dmn_0> <n> <pl> <3p>
onlar	o <prn> <pers> <3p>
onlar	o <prn> <pers> <pl>
onlar	o <prn> <pers> <pl> <3s>
onlar	o <prn> <pers> <pl> <3p>
neyden	ney <n> <abl> <3s>
neyden	ney <n> <abl> <3p>
yapılmış?"	yap <v> <pass> <t_narr> <3p>
yapılmış?"	yap <v> <pass> <cv_mis>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
sordu	sor <v> <t_past> <3p>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice	ali <n> <D_CA> <adv>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice	ali <n> <D_CA> <n>
Alice	ali <n> <D_CA> <n> <3s>
Alice	ali <n> <D_CA> <n> <3p>
büyük	büyük <adj> <Djn_0> <n>
büyük	büyük <adj> <Djn_0> <n> <3s>
büyük	büyük <adj> <Djn_0> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
merak	merak <n> <3s>
merak	merak <n> <3p>
tonuyla.	ton <n> <p3s> <ins> <3s>
tonuyla.	ton <n> <p3s> <ins> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Tabii	tabii <adj> <Djn_0> <n>
"Tabii	tabii <adj> <Djn_0> <n> <3s>
"Tabii	tabii <adj> <Djn_0> <n> <3p>
"Tabii	tabii <ij>
ki,	ki <cnjadv>
Soles	<unk>
ve	ve <cnjadv>
yılan	yılan <n> <3s>
yılan	yılan <n> <3p>
yılan	yıl <v> <part_yan>
yılan	yıl <v> <part_yan> <3s>
yılan	yıl <v> <part_yan> <3p>
balıkları,"	balık <adj> <Djn_0> <n> <pl> <p3s> <3s>
balıkları,"	balık <adj> <Djn_0> <n> <pl> <p3s> <3p>
balıkları,"	balık <adj> <Djn_0> <n> <pl> <acc>
balıkları,"	balık <adj> <Djn_0> <n> <pl> <acc> <3s>
balıkları,"	balık <adj> <Djn_0> <n> <pl> <acc> <3p>
balıkları,"	balık <adj> <Djn_0> <n> <p3p>
balıkları,"	balık <adj> <Djn_0> <n> <p3p> <3s>
balıkları,"	balık <adj> <Djn_0> <n> <p3p> <3p>
balıkları,"	balık <n> <pl> <p3s>
balıkları,"	balık <n> <pl> <p3s> <3s>
balıkları,"	balık <n> <pl> <p3s> <3p>
balıkları,"	balık <n> <pl> <acc>
balıkları,"	balık <n> <pl> <acc> <3s>
balıkları,"	balık <n> <pl> <acc> <3p>
balıkları,"	balık <n> <p3p>
balıkları,"	balık <n> <p3p> <3s>
balıkları,"	balık <n> <p3p> <3p>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
yanıtladı	yanıtla <v> <t_past> <3p>
yanıtladı	yanıt <n> <D_lA> <v> <t_past> <3s>
yanıtladı	yanıt <n> <D_lA> <v> <t_past> <3p>
Gryphon	<unk>
oldukça	<unk>
sabırsızca:	sabır <n> <Dnn_siz> <adj> <Djn_0> <n> <D_CA> <adj>
sabırsızca:	sabır <n> <Dnn_siz> <adj> <Djn_0> <n> <D_CA> <adv>
sabırsızca:	sabır <n> <Dnn_siz> <adj> <Djn_0> <n> <ca>
sabırsızca:	sabır <n> <Dnn_siz> <adv> <Dan_0> <n> <D_CA> <adj>
sabırsızca:	sabır <n> <Dnn_siz> <adv> <Dan_0> <n> <D_CA> <adv>
sabırsızca:	sabır <n> <Dnn_siz> <adv> <Dan_0> <n> <ca>
"herhangi	<unk>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
karides	karides <n> <3s>
karides	karides <n> <3p>
size	siz <prn> <pers> <dat> <3s>
size	siz <prn> <pers> <dat> <3p>
bunu	bun <n> <p3s> <3s>
bunu	bun <n> <p3s> <3p>
bunu	bun <n> <acc>
bunu	bun <n> <acc> <3s>
bunu	bun <n> <acc> <3p>
bunu	bu <prn> <dem> <p3s>
bunu	bu <prn> <dem> <p3s> <3s>
bunu	bu <prn> <dem> <p3s> <3p>
bunu	bu <prn> <dem> <acc>
bunu	bu <prn> <dem> <acc> <3s>
bunu	bu <prn> <dem> <acc> <3p>
söyleyebilirdi."	söyle <v> <abil> <t_aor> <cpl_di> <3p>
söyleyebilirdi."	söyle <v> <abil> <t_aor> <3p> <cpl_di>
"Eğer	eğer <n> <3s>
"Eğer	eğer <n> <3p>
"Eğer	eğer <cnjsub>
"Eğer	eğ <v> <t_aor> <3s>
"Eğer	eğ <v> <t_aor> <3p>
ben	ben <prn> <pers> <3s>
ben	ben <prn> <pers> <3p>
mezgit	mezgit <n> <3s>
mezgit	mezgit <n> <3p>
olsaydım,"	<unk>
dedi	de <v> <t_past> <3p>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice,	ali <n> <D_CA> <adv>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice,	ali <n> <D_CA> <n>
Alice,	ali <n> <D_CA> <n> <3s>
Alice,	ali <n> <D_CA> <n> <3p>
düşünceleri	düşünce <n> <pl> <p3s> <3s>
düşünceleri	düşünce <n> <pl> <p3s> <3p>
düşünceleri	düşünce <n> <pl> <acc>
düşünceleri	düşünce <n> <pl> <acc> <3s>
düşünceleri	düşünce <n> <pl> <acc> <3p>
düşünceleri	düşünce <n> <p3p>
düşünceleri	düşünce <n> <p3p> <3s>
düşünceleri	düşünce <n> <p3p> <3p>
düşünceleri	düşün <n> <D_CA> <adj> <Djn_0> <n> <pl> <p3s>
düşünceleri	düşün <n> <D_CA> <adj> <Djn_0> <n> <pl> <p3s> <3s>
düşünceleri	düşün <n> <D_CA> <adj> <Djn_0> <n> <pl> <p3s> <3p>
düşünceleri	düşün <n> <D_CA> <adj> <Djn_0> <n> <pl> <acc>
